1000 10000
90 187 0.31
694 951 0.43
848 483 0.43
242 78 0.78
422 330 0.38
648 587 0.52
426 153 0.73
4 751 0.07
319 982 0.42
68 726 0.74
603 75 0.51
342 29 0.22
56 246 0.74
327 331 0.04
695 539 0.03
302 895 0.15
802 351 0.88
512 185 0.32
271 128 0.22
203 214 0.53
555 125 0.33
961 294 0.82
264 82 0.99
263 796 0.82
308 443 0.96
899 632 0.71
77 578 0.69
351 103 0.56
223 40 0.01
762 698 0.35
756 825 0.40
624 695 0.10
145 226 0.82
4 35 0.68
907 870 0.67
484 555 0.78
326 434 0.34
666 567 0.62
848 958 0.52
169 117 0.03
648 22 0.58
518 572 0.63
403 948 0.17
14 286 0.83
622 627 0.12
933 460 0.10
629 349 0.76
331 438 0.02
828 246 0.39
187 742 0.23
525 178 0.10
466 339 0.02
265 772 0.05
608 616 0.05
40 4 0.20
885 116 0.47
631 656 0.09
984 347 0.39
16 29 0.96
804 462 0.34
54 741 0.68
733 416 0.37
391 182 0.05
102 209 0.65
163 431 0.45
809 481 0.70
64 696 0.75
141 540 0.23
913 579 0.35
770 460 0.19
71 863 0.28
609 92 0.30
955 72 0.92
166 945 0.08
63 607 0.50
120 127 0.92
447 764 0.54
788 664 0.68
177 345 0.31
305 364 0.52
896 265 0.42
651 49 0.97
979 668 0.04
840 118 0.28
953 313 0.37
589 357 0.41
208 256 0.27
727 251 0.53
108 873 0.51
180 366 0.72
864 987 0.43
938 446 0.43
25 639 0.53
560 452 0.72
82 632 0.53
91 202 0.19
54 498 0.43
792 151 0.17
243 439 0.12
656 966 0.48
713 699 0.00
950 696 0.94
716 334 0.14
440 49 0.16
422 449 0.43
786 796 0.06
164 664 0.22
330 608 0.76
919 536 0.03
397 270 0.24
180 162 0.33
915 433 0.03
994 330 0.02
665 858 0.45
61 865 0.76
670 453 0.94
218 396 0.25
919 510 0.13
278 482 0.49
95 70 0.29
501 283 0.41
69 551 0.01
30 823 0.02
554 181 0.67
23 410 0.68
212 465 0.35
654 232 0.68
179 136 0.46
779 873 0.41
579 683 0.33
304 599 0.62
585 554 0.98
88 206 0.23
549 79 0.36
443 892 0.28
106 990 0.53
88 381 0.68
378 667 0.86
461 624 0.00
799 408 0.20
802 684 0.31
875 46 0.09
723 146 0.56
871 58 0.51
103 140 0.93
675 279 0.57
503 918 0.44
196 370 0.22
514 139 0.51
969 54 0.65
305 93 0.04
954 322 0.65
311 67 0.92
679 947 0.94
121 469 0.93
374 993 0.05
893 847 0.87
289 545 0.78
732 243 0.46
469 915 0.68
186 155 0.69
101 268 0.28
395 445 0.10
841 861 0.23
822 484 0.58
681 932 0.13
380 836 0.97
676 873 0.45
660 374 0.09
219 206 0.01
555 616 0.57
475 120 0.25
224 824 0.82
923 784 0.84
696 578 0.03
955 419 0.26
261 382 0.80
426 319 0.63
495 331 0.26
479 822 0.18
673 199 0.49
530 712 0.57
327 642 0.55
96 704 0.70
355 845 0.23
564 415 0.77
985 710 0.22
398 475 0.42
695 579 0.95
939 149 0.55
744 123 0.12
670 263 0.37
375 7 0.64
798 856 0.67
252 306 0.88
915 92 0.45
275 253 0.68
4 965 0.04
299 643 0.88
523 547 0.74
502 910 0.74
235 513 0.34
436 296 0.19
352 803 0.72
683 793 0.70
977 516 0.44
504 734 0.28
838 583 0.77
201 514 0.98
53 545 1.00
899 961 0.67
420 996 0.81
117 670 0.05
152 782 0.69
795 784 0.47
433 631 0.09
810 319 0.89
960 320 0.71
307 475 0.91
629 356 0.89
4 281 0.68
814 270 0.39
269 939 0.53
83 497 0.92
913 856 0.23
970 923 0.32
75 629 0.07
477 185 0.68
6 689 0.07
923 259 0.91
357 579 0.90
879 962 0.03
386 363 0.71
228 752 0.25
10 527 0.98
992 157 0.59
224 119 0.59
414 436 0.86
590 813 0.10
352 171 0.95
177 272 1.00
510 364 0.80
681 896 0.18
423 271 0.94
603 723 0.49
90 898 0.63
915 591 0.73
684 112 0.99
779 140 0.46
765 123 0.72
358 691 0.80
105 199 0.43
362 574 0.03
988 798 0.82
20 24 0.72
332 858 0.36
59 754 0.76
78 274 1.00
849 192 0.70
355 651 0.44
742 789 0.97
396 811 0.90
0 196 0.94
512 47 0.43
267 606 0.95
276 992 0.45
617 350 0.69
378 458 0.25
285 878 0.82
431 324 0.28
19 62 0.32
347 477 0.39
243 540 0.06
337 551 0.85
269 442 0.66
786 868 0.31
751 892 0.88
311 771 0.99
56 57 0.19
60 513 0.63
5 384 0.29
66 238 0.84
160 87 0.08
933 868 0.05
657 866 0.16
964 890 0.24
583 996 0.76
639 588 0.12
145 150 0.16
700 704 0.27
155 93 0.24
984 179 0.71
50 269 0.91
285 722 0.93
658 76 0.56
758 485 0.92
26 290 0.17
944 865 0.01
316 72 0.76
28 372 0.45
123 702 0.43
308 996 0.78
737 702 0.48
386 954 0.56
296 36 0.63
795 26 0.14
191 873 0.35
514 446 0.34
519 947 0.71
295 851 0.01
814 149 0.64
118 870 0.37
525 30 0.54
780 477 0.09
16 50 0.74
658 897 0.20
74 200 0.54
476 164 0.02
131 771 0.89
576 26 0.74
685 472 0.31
177 193 0.09
766 285 0.24
124 854 0.42
788 935 0.21
145 611 0.07
115 909 0.47
128 954 0.22
589 653 0.91
442 86 0.50
957 629 0.48
279 617 0.38
615 121 0.70
2 782 0.54
239 357 0.19
477 464 0.76
672 890 0.52
547 118 0.27
50 514 0.92
56 699 0.68
789 29 0.42
632 110 0.53
681 781 0.04
464 191 0.25
525 900 0.45
176 323 0.29
837 626 0.86
547 852 0.60
381 278 0.59
21 357 0.61
295 74 0.83
43 245 0.89
423 17 0.63
51 670 0.86
114 2 0.66
540 554 0.85
61 521 0.92
484 912 0.80
930 278 0.74
848 115 0.86
721 251 0.66
726 372 0.59
711 480 0.08
789 578 0.97
321 134 0.87
570 595 0.37
455 55 0.67
627 670 0.29
75 403 0.60
313 490 0.59
806 143 0.85
703 285 0.82
29 510 0.08
217 70 0.57
184 377 0.35
520 499 0.05
313 603 0.96
957 130 0.35
27 197 0.41
736 833 0.71
435 168 0.51
271 470 0.13
436 407 0.34
151 188 0.10
562 709 0.42
687 990 0.75
504 901 0.61
730 447 0.52
507 522 0.45
18 787 0.96
437 875 0.30
247 580 0.74
361 941 0.38
639 326 0.70
109 611 0.03
630 15 0.96
4 465 0.77
395 980 0.84
71 427 0.44
537 547 0.79
421 648 0.72
81 687 0.53
559 502 0.77
227 633 0.82
552 96 0.96
723 249 0.33
232 700 0.31
733 464 0.15
292 778 0.35
975 23 0.89
136 790 0.92
756 230 0.41
24 727 0.57
315 488 0.71
979 833 0.27
371 49 0.14
261 615 0.95
279 738 0.59
229 435 0.46
858 549 0.40
345 654 0.10
992 419 0.57
661 119 0.99
292 718 0.21
6 84 0.19
319 23 0.31
858 327 0.54
717 17 0.42
440 67 0.42
39 101 0.07
989 812 0.98
886 648 0.08
894 635 0.26
271 118 0.05
755 275 0.83
132 296 0.13
268 984 0.14
40 647 0.83
890 409 0.27
907 935 0.38
322 221 0.15
696 82 0.24
847 821 0.48
959 923 0.19
530 169 0.16
259 325 0.22
80 422 0.82
668 63 0.79
283 91 0.96
251 463 0.22
37 88 0.19
368 97 0.36
94 139 0.16
313 736 0.43
763 360 0.48
178 158 0.50
878 523 0.50
737 629 0.48
335 276 0.37
317 809 0.39
352 324 0.26
350 307 0.36
874 585 0.25
13 385 0.43
273 476 0.01
827 981 0.59
809 290 0.29
791 118 0.84
923 294 0.12
196 748 0.07
841 145 0.41
163 509 0.98
326 859 0.73
679 989 0.30
723 149 0.02
961 536 0.12
927 487 0.28
140 923 0.87
236 620 0.80
349 267 0.08
538 2 0.55
426 760 0.86
372 92 0.39
927 116 0.84
